,movieID,genres,itemID
3724,3793,Action|Sci-Fi,237
505,509,Drama|Romance,238
40,41,Drama|War,239
1989,2058,Action|Thriller,240
3730,3799,Animation|Children's,241
46,47,Crime|Thriller,242
2631,2700,Animation|Comedy,243
293,296,Crime|Drama,244
577,581,Documentary,245
1575,1617,Crime|Film-Noir|Mystery|Thriller,246
719,728,Comedy,247
296,299,Drama,248
3010,3079,Drama,249
2491,2560,Drama|Horror,250
1840,1909,Mystery|Sci-Fi|Thriller,251
221,224,Comedy|Drama|Romance,252
3659,3728,Thriller,253
226,229,Drama|Thriller,254
5,6,Action|Crime|Thriller,255
2937,3006,Drama,256
1033,1046,Drama|Romance,257
790,800,Drama|Mystery,258
49,50,Crime|Thriller,259
51,52,Comedy,260
1174,1191,Documentary,261
1175,1192,Documentary,262
3012,3081,Horror|Romance,263
373,377,Action|Romance|Thriller,264
1248,1268,Drama,265
3014,3083,Comedy|Drama,266
3444,3513,Drama|Thriller,267
2359,2428,Horror|Sci-Fi,268
2213,2282,Comedy|Drama,269
3445,3514,Drama,270
1515,1554,Drama|Romance,271
1843,1912,Action|Crime|Romance,272
2647,2716,Comedy|Horror,273
1455,1485,Comedy,274
2220,2289,Comedy|Drama,275
160,162,Documentary,276
1111,1127,Action|Adventure|Sci-Fi|Thriller,277
2947,3016,Horror,278
2001,2070,Drama,279
1656,1704,Drama,280
3094,3163,Drama,281
2368,2437,Drama,282
2222,2291,Drama|Romance,283
1591,1635,Drama,284
1259,1279,Comedy|Drama,285
2652,2721,Romance,286
2654,2723,Action|Adventure|Comedy,287
1852,1921,Sci-Fi|Thriller,288
2656,2725,Drama,289
1854,1923,Comedy,290
2511,2580,Crime,291
3317,3386,Drama|Mystery,292
3675,3744,Action|Crime,293
956,968,Horror|Sci-Fi,294
884,896,Drama,295
2951,3020,Action|Drama,296
1729,1788,Action|Drama,297
174,176,Comedy,298
457,461,Drama|Romance,299
1405,1429,Action,300
2090,2159,Crime|Horror,301
1666,1715,Thriller,302
1597,1643,Drama|Romance,303
3180,3249,Thriller,304
3107,3176,Drama|Mystery|Thriller,305
1670,1719,Drama,306
2737,2806,Comedy|Thriller,307
2665,2734,Drama,308
1603,1649,Documentary,309
318,321,Drama,310
1944,2013,Action|Adventure,311
3031,3100,Drama,312
2883,2952,Crime|Thriller,313
1734,1794,Comedy|Drama,314
2530,2599,Comedy,315
1468,1500,Comedy|Crime,316
2890,2959,Drama,317
1475,1509,Drama,318
1673,1722,Action|Romance|Thriller,319
1604,1650,Drama,320
896,908,Drama|Thriller,321
1607,1653,Drama|Sci-Fi|Thriller,322
2315,2384,Children's|Comedy,323
1680,1729,Crime|Drama,324
3407,3476,Horror|Mystery|Thriller,325
2821,2890,Drama|War,326
3044,3113,Action|Thriller,327
15,16,Drama|Thriller,328
1960,2029,Comedy|Romance,329
192,194,Drama,330
547,551,Children's|Comedy|Musical,331
1478,1513,Comedy,332
2977,3046,Comedy|Romance,333
2249,2318,Comedy,334
1482,1517,Comedy,335
1073,1089,Crime|Thriller,336
3191,3260,Drama,337
901,913,Film-Noir|Mystery,338
1681,1730,Drama,339
3340,3409,Drama|Thriller,340
2538,2607,Drama,341
1424,1449,Comedy,342
1683,1732,Comedy|Crime|Mystery|Thriller,343
1684,1733,Drama|Romance,344
2321,2390,Comedy,345
1685,1734,Comedy|Drama,346
3197,3266,Action|Comedy|Crime|Drama,347
3198,3267,Action|Thriller,348
3555,3624,Action,349
2326,2395,Comedy,350
1553,1594,Drama,351
2614,2683,Comedy,352
408,412,Drama,353
2690,2759,Comedy,354
982,994,Drama,355
1815,1884,Comedy|Drama,356
1816,1885,Comedy|Drama,357
269,272,Drama,358
23,24,Drama|Sci-Fi,359
2982,3051,Drama,360
344,348,Comedy,361
2254,2323,Documentary,362
1077,1093,Drama|Musical,363
28,29,Adventure|Sci-Fi,364
558,562,Comedy|Drama,365
1079,1095,Drama,366
1493,1529,Drama,367
2119,2188,Drama,368
493,497,Comedy|Romance,369
200,202,Drama|Romance,370
1695,1747,Comedy|Drama,371
2839,2908,Drama,372
1897,1966,Comedy,373
3430,3499,Horror,374
349,353,Action|Romance|Thriller,375
31,32,Drama|Sci-Fi,376
1223,1243,Comedy|Drama,377
1828,1897,Drama|Romance,378
1155,1171,Comedy,379
3717,3786,Comedy,380
33,34,Children's|Comedy|Drama,381
353,357,Comedy|Romance,382
35,36,Drama,383
705,714,Western,384
2337,2406,Action|Adventure|Comedy|Romance,385
1085,1101,Action|Romance,386
3648,3717,Action|Crime,387
1017,1030,Adventure|Animation|Children's|Musical,388
1642,1688,Animation|Children's|Musical,389
360,364,Animation|Children's|Musical,390
3432,3501,Comedy|Romance,391
3003,3072,Comedy,392
3005,3074,Western,393
3439,3508,Western,394
1030,1043,Drama|Romance,395
593,597,Comedy|Romance,396
379,383,Western,397
2437,2506,Comedy|Drama|Romance,398
3455,3524,Comedy|Romance,399
1529,1569,Comedy|Romance,400
2013,2082,Children's|Comedy,401
3531,3600,Comedy|Musical,402
3535,3604,Musical,403
2733,2802,Action|Romance|Thriller,404
3467,3536,Comedy|Romance,405
3684,3753,Action|Drama|War,406
3613,3682,Western,407
1948,2017,Children's|Fantasy|Musical,408
3616,3685,Comedy|Drama|Romance,409
3541,3610,Musical,410
1276,1296,Drama|Romance,411
827,838,Comedy|Drama|Romance,412
994,1007,Children's|Comedy|Western,413
1878,1947,Musical|Romance,414
2897,2966,Drama,415
263,266,Drama|Romance|War|Western,416
16,17,Drama|Romance,417
1416,1441,Comedy|Romance,418
1072,1088,Musical|Romance,419
900,912,Drama|Romance|War,420
197,199,Drama|Musical,421
1743,1806,Adventure|Children's|Comedy,422
2400,2469,Comedy|Romance,423
2031,2100,Comedy|Fantasy|Romance,424
1890,1959,Drama|Romance,425
1359,1380,Comedy|Musical|Romance,426
565,569,Children's|Comedy,427
1628,1674,Drama|Romance|Thriller,428
3496,3565,Comedy|Drama,429
850,861,Action|Thriller,430
1928,1997,Horror,431
1533,1573,Action|Sci-Fi|Thriller,432
470,474,Action|Thriller,433
1203,1221,Action|Crime|Drama,434
2267,2336,Drama,435
3356,3425,Drama,436
1372,1393,Drama|Romance,437
1636,1682,Drama,438
504,508,Drama,439
3144,3213,Animation|Children's,440
41,42,Action|Crime|Drama,441
644,650,Drama,442
3431,3500,Comedy|Drama,443
3079,3148,Drama,444
2633,2702,Drama,445
1448,1476,Comedy|Drama,446
1646,1693,Drama,447
149,151,Drama|Romance|War,448
506,510,Drama,449
3,4,Comedy|Drama,450
1578,1621,Drama,451
3086,3155,Drama|Romance,452
57,58,Drama|Romance,453
2643,2712,Drama,454
2360,2429,Adventure|Children's|Drama,455
1771,1840,Drama,456
1847,1916,Action|Comedy|Drama,457
1458,1488,Action|Drama|Thriller|War,458
227,230,Drama|Thriller,459
1104,1120,Drama,460
159,161,Drama|Thriller|War,461
1388,1411,Drama,462
520,524,Drama,463
1045,1059,Drama|Romance,464
450,454,Drama|Thriller,465
1653,1701,Comedy|Drama,466
1254,1274,Adventure|Animation|Sci-Fi|Thriller,467
731,741,Animation|Sci-Fi,468
1257,1277,Action|Drama|Romance,469
1593,1639,Drama|Romance,470
3459,3528,Drama|Romance,471
2228,2297,Drama|Romance,472
461,465,Action|Drama|War,473
1663,1711,Comedy|Crime|Drama|Mystery,474
534,538,Drama,475
389,393,Action,476
2373,2442,Drama,477
72,73,Drama|Musical,478
3177,3246,Drama,479
3104,3173,Drama,480
103,105,Drama|Romance,481
250,253,Drama|Horror,482
3181,3250,Drama,483
3183,3252,Drama,484
472,476,Comedy|Drama,485
109,111,Drama|Thriller,486
3190,3259,Drama|Romance,487
1548,1589,Crime|Drama|Mystery,488
1954,2023,Action|Crime|Drama,489
13,14,Drama,490
333,337,Drama,491
2245,2314,Drama,492
2531,2600,Action|Sci-Fi|Thriller,493
266,269,Drama,494
551,555,Action|Crime|Romance,495
1614,1660,Drama,496
3196,3265,Action|Crime,497
1686,1735,Drama|Romance,498
3412,3481,Comedy,499
2617,2686,Drama|Mystery,500
2619,2688,Drama|Thriller,501
341,345,Comedy|Drama,502
2251,2320,Drama|Thriller,503
24,25,Drama|Romance,504
2255,2324,Comedy|Drama,505
2260,2329,Drama,506
1746,1810,Drama,507
2472,2541,Drama,508
1627,1673,Drama,509
1632,1678,Drama,510
1014,1027,Drama,511
2630,2699,Action|Comedy|Sci-Fi|Thriller,512
279,282,Drama,513
363,367,Comedy|Crime|Fantasy,514
220,223,Comedy,515
3229,3298,Drama,516
3878,3948,Comedy,517
795,805,Drama,518
3441,3510,Drama|Thriller,519
297,300,Drama,520
1720,1777,Comedy|Romance,521
3232,3301,Comedy|Crime,522
1322,1343,Thriller,523
3091,3160,Drama,524
525,529,Drama,525
3383,3452,Action|Romance,526
1046,1060,Comedy|Drama,527
1335,1356,Action|Adventure|Sci-Fi,528
1337,1358,Drama|Thriller,529
3109,3178,Drama,530
3682,3751,Animation|Children's|Comedy,531
3756,3826,Horror|Sci-Fi|Thriller,532
3686,3755,Action|Adventure|Thriller,533
2233,2302,Comedy,534
1132,1148,Animation|Comedy,535
2097,2166,Drama|Romance,536
3184,3253,Comedy,537
1543,1584,Drama|Sci-Fi,538
1205,1223,Animation|Comedy,539
1421,1446,Comedy,540
3554,3623,Action|Thriller,541
768,778,Drama,542
1623,1669,Romance,543
3415,3484,Thriller,544
3846,3916,Drama,545
1214,1233,Action|Drama|War,546
1287,1307,Comedy|Romance,547
3201,3270,Drama,548
1290,1310,Documentary,549
424,428,Drama,550
2553,2622,Comedy|Fantasy,551
3289,3358,Comedy|Romance,552
3290,3359,Drama,553
1703,1756,Horror,554
1300,1320,Action|Horror|Sci-Fi|Thriller,555
2055,2124,Comedy,556
2056,2125,Drama|Romance,557
1985,2054,Adventure|Children's|Comedy|Fantasy|Sci-Fi,558
1232,1252,Film-Noir|Mystery|Thriller,559
1234,1254,Adventure,560
3799,3869,Comedy,561
1236,1256,Comedy|War,562
1237,1257,Comedy,563
1763,1831,Action|Sci-Fi|Thriller,564
3294,3363,Comedy|Drama,565
582,586,Children's|Comedy,566
583,587,Comedy|Romance|Thriller,567
3369,3438,Action|Children's|Fantasy,568
3370,3439,Action|Children's|Fantasy,569
3227,3296,Drama,570
2427,2496,Comedy|Romance,571
2428,2497,Romance,572
1,2,Adventure|Children's|Fantasy,573
2429,2498,Comedy|Sci-Fi,574
151,153,Action|Adventure|Comedy|Crime,575
6,7,Comedy|Romance,576
2064,2133,Adventure|Comedy,577
2066,2135,Adventure|Musical,578
2067,2136,Comedy,579
2068,2137,Animation|Children's,580
792,802,Drama|Romance,581
2069,2138,Animation|Children's|Drama|Fantasy,582
1386,1409,Comedy|Romance,583
1318,1339,Horror|Romance,584
1249,1269,Comedy|Mystery|Thriller,585
2571,2640,Action|Adventure|Sci-Fi,586
588,592,Action|Adventure|Crime|Drama,587
592,596,Animation|Children's,588
3378,3447,Drama,589
1849,1918,Action|Comedy|Crime|Drama,590
2071,2140,Children's|Fantasy|Sci-Fi,591
2003,2072,Comedy,592
1251,1271,Drama,593
1324,1345,Horror,594
2008,2077,Adventure|Children's,595
2009,2078,Animation|Children's|Comedy|Musical,596
1256,1276,Comedy|Drama,597
733,743,Comedy,598
665,671,Comedy|Sci-Fi,599
1258,1278,Comedy|Horror,600
3456,3525,Comedy,601
1858,1927,War,602
2588,2657,Comedy|Horror|Musical|Sci-Fi,603
3319,3388,Comedy,604
313,316,Action|Adventure|Sci-Fi,605
314,317,Children's|Comedy|Fantasy,606
245,248,Comedy,607
2011,2080,Animation|Children's|Comedy|Musical|Romance,608
1262,1282,Animation|Children's|Musical,609
1263,1283,Western,610
740,750,Sci-Fi|War,611
2018,2087,Animation|Children's|Fantasy|Musical,612
1266,1286,Drama|Romance,613
3539,3608,Comedy,614
2593,2662,Action|Sci-Fi|War,615
3397,3466,Comedy|Fantasy,616
2231,2300,Comedy|Musical,617
178,180,Comedy,618
325,329,Action|Adventure|Sci-Fi,619
2965,3034,Animation|Children's,620
184,186,Comedy,621
2092,2161,Adventure|Children's|Fantasy,622
2968,3037,Comedy|Drama|Western,623
2021,2090,Animation|Children's,624
2970,3039,Comedy,625
2022,2091,Children's|Sci-Fi,626
819,830,Comedy,627
2024,2093,Adventure|Children's|Fantasy|Sci-Fi,628
892,904,Mystery|Thriller,629
2025,2094,Action|Adventure|Sci-Fi,630
1272,1292,Comedy,631
2027,2096,Animation|Children's|Musical,632
1274,1294,Comedy|War,633
755,765,Comedy|Drama,634
2677,2746,Comedy|Horror|Musical,635
996,1009,Adventure|Children's|Fantasy,636
1879,1948,Comedy,637
329,333,Comedy,638
335,339,Comedy|Romance,639
2247,2316,Drama|Romance,640
1350,1371,Action|Adventure|Sci-Fi,641
2105,2174,Comedy|Fantasy,642
1353,1374,Action|Adventure|Sci-Fi,643
1354,1375,Action|Adventure|Sci-Fi,644
903,915,Comedy|Romance,645
1355,1376,Action|Adventure|Sci-Fi,646
1356,1377,Action|Adventure|Comedy|Crime,647
904,916,Comedy|Romance,648
906,918,Musical,649
999,1012,Children's|Drama,650
2757,2826,Action|Horror|Thriller,651
3560,3629,Comedy,652
1002,1015,Adventure|Children's,653
1003,1016,Children's|Comedy,654
1006,1019,Adventure|Children's|Fantasy|Sci-Fi,655
3420,3489,Adventure|Fantasy,656
340,344,Comedy,657
272,275,Comedy,658
2183,2252,Comedy|Drama,659
274,277,Drama,660
911,923,Drama,661
912,924,Drama|Mystery|Sci-Fi|Thriller,662
3632,3701,Crime|Drama|Sci-Fi,663
3634,3703,Action|Sci-Fi,664
914,926,Drama,665
3635,3704,Action|Sci-Fi,666
1007,1020,Comedy,667
774,784,Comedy,668
847,858,Action|Crime|Drama,669
1010,1023,Animation|Children's,670
1012,1025,Animation|Children's,671
2624,2693,Documentary,672
1898,1967,Adventure|Children's|Fantasy,673
347,351,Comedy|Drama|Romance,674
2336,2405,Action|Adventure|Comedy|Romance,675
2338,2407,Comedy|Sci-Fi,676
2997,3066,War,677
2124,2193,Action|Adventure|Fantasy,678
920,932,Romance,679
1018,1031,Adventure|Children's|Musical,680
1088,1104,Drama,681
1019,1032,Animation|Children's|Musical,682
431,435,Comedy|Sci-Fi,683
931,943,Drama|Romance,684
3654,3723,Drama,685
1029,1042,Comedy,686
366,370,Comedy,687
2354,2423,Comedy,688
3084,3153,Action|Adventure|Fantasy,689
2355,2424,Comedy|Romance,690
3017,3086,Comedy,691
3018,3087,Comedy,692
941,953,Drama,693
942,954,Drama,694
3522,3591,Comedy|Drama,695
2794,2863,Comedy|Musical,696
3524,3593,Action|Sci-Fi,697
1109,1125,Comedy,698
516,520,Comedy,699
3599,3668,Drama|Romance,700
2726,2795,Comedy,701
1113,1129,Action|Adventure|Sci-Fi|Thriller,702
2362,2431,Comedy|Drama,703
61,62,Drama,704
3240,3309,Comedy,705
1590,1633,Drama,706
2367,2436,Comedy,707
3028,3097,Comedy|Romance,708
3030,3099,Comedy|Romance,709
3743,3812,Comedy,710
1931,2000,Action|Comedy|Crime|Drama,711
951,963,Musical,712
1932,2001,Action|Comedy|Crime|Drama,713
1182,1200,Action|Sci-Fi|Thriller|War,714
1934,2003,Comedy|Horror,715
1185,1203,Drama,716
1936,2005,Adventure|Children's|Fantasy,717
1186,1204,Adventure|War,718
957,969,Action|Adventure|Romance|War,719
2803,2872,Action|Drama|Fantasy|Romance,720
3606,3675,Musical,721
2877,2946,Comedy|Musical,722
886,898,Comedy|Romance,723
1940,2009,Sci-Fi|Thriller,724
2805,2874,Comedy,725
887,899,Musical|Romance,726
1119,1135,Comedy,727
2879,2948,Action,728
535,539,Comedy|Romance,729
2302,2371,Comedy,730
3178,3247,Comedy|Crime,731
3105,3174,Comedy|Drama,732
3106,3175,Adventure|Comedy|Sci-Fi,733
2306,2375,Comedy,734
2309,2378,Comedy,735
959,971,Drama,736
1942,2011,Comedy|Sci-Fi,737
1943,2012,Comedy|Sci-Fi|Western,738
1946,2015,Children's|Comedy|Fantasy,739
1197,1215,Action|Adventure|Comedy|Horror|Sci-Fi,740
1058,1073,Adventure|Children's|Comedy|Fantasy,741
3619,3688,Comedy,742
537,541,Film-Noir|Sci-Fi,743
538,542,Comedy,744
539,543,Comedy|Romance|Thriller,745
3185,3254,Comedy,746
2384,2453,Drama|Fantasy,747
2460,2529,Action|Sci-Fi,748
1608,1654,Children's|Drama|Fantasy,749
1542,1583,Children's|Fantasy,750
3120,3189,Comedy,751
114,116,Documentary,752
1545,1586,Action|Drama|War,753
1952,2021,Fantasy|Sci-Fi,754
1202,1220,Action|Comedy|Musical,755
1064,1080,Comedy,756
2898,2967,Drama|Thriller,757
2899,2968,Adventure|Fantasy|Sci-Fi,758
2461,2530,Action|Sci-Fi,759
3195,3264,Comedy|Horror,760
3125,3194,Drama,761
2324,2393,Action|Sci-Fi,762
3129,3198,Drama,763
2330,2399,Adventure|Children's|Fantasy,764
1282,1302,Drama,765
1211,1230,Comedy|Romance,766
2036,2105,Action|Adventure|Fantasy|Sci-Fi,767
1964,2033,Animation|Children's,768
2039,2108,Comedy|Romance,769
1215,1234,Comedy|Crime,770
2040,2109,Comedy,771
1075,1091,Comedy,772
3278,3347,Drama,773
201,203,Comedy,774
1630,1676,Action|Adventure|Sci-Fi|War,775
206,208,Action|Adventure,776
2042,2111,Comedy,777
1971,2040,Children's|Comedy,778
1972,2041,Action|Adventure|Children's|Comedy,779
3858,3928,Comedy|Horror,780
1974,2043,Adventure|Children's|Fantasy,781
1976,2045,Adventure|Children's|Drama|Romance,782
1977,2046,Adventure|Children's|Sci-Fi,783
1978,2047,Children's,784
1980,2049,Comedy|Musical,785
1700,1753,Comedy,786
214,216,Comedy,787
2637,2706,Comedy,788
2570,2639,Drama,789
2641,2710,Horror,790
657,663,Comedy,791
3379,3448,Comedy|Drama|War,792
228,231,Comedy,793
2007,2076,Drama|Mystery,794
243,246,Documentary,795
246,249,Drama|Romance,796
1268,1288,Comedy|Drama|Musical,797
3327,3396,Children's|Comedy,798
3032,3101,Thriller,799
2529,2598,Comedy,800
2237,2306,Comedy,801
754,764,Drama|Romance,802
338,342,Comedy|Romance,803
1818,1887,Adventure|Comedy,804
2256,2325,Comedy,805
3060,3129,Comedy|Drama,806
2838,2907,Comedy,807
778,788,Comedy|Fantasy|Romance|Sci-Fi,808
2697,2766,Comedy|Drama,809
2266,2335,Comedy,810
1434,1461,Comedy,811
3077,3146,Comedy,812
1507,1546,Comedy,813
436,440,Comedy|Romance,814
437,441,Comedy,815
2438,2507,Comedy,816
1523,1563,Drama,817
1466,1498,Drama|Romance,818
2814,2883,Comedy,819
3113,3182,Documentary,820
84,85,Drama|Romance,821
87,88,Comedy,822
974,986,Adventure|Children's,823
477,481,Drama|Thriller,824
2470,2539,Comedy,825
1619,1665,Comedy,826
2037,2106,Drama|War,827
699,708,Comedy|Romance,828
3293,3362,Comedy|Crime|Drama,829
803,813,Comedy,830
3827,3897,Comedy|Drama,831
922,934,Comedy,832
3589,3658,Sci-Fi,833
1283,1303,Adventure,834
986,999,Crime,835
2547,2616,Action|Crime,836
3716,3785,Comedy|Horror,837
1311,1331,Horror,838
1242,1262,Adventure|War,839
2572,2641,Action|Adventure|Sci-Fi,840
2967,3036,Adventure,841
3410,3479,Adventure|Fantasy|Romance,842
9,10,Action|Adventure|Thriller,843
2753,2822,Adventure|Romance,844
3425,3494,Adventure|Western,845
417,421,Adventure|Children's,846
3001,3070,Adventure|Comedy|Sci-Fi,847
2345,2414,Action|Adventure|Mystery,848
1450,1479,Action|Romance|Thriller,849
513,517,Action|Drama|Mystery,850
940,952,Adventure|Comedy,851
59,60,Adventure|Children's|Fantasy,852
3676,3745,Adventure|Animation|Sci-Fi,853
2301,2370,Action|Adventure|Drama,854
1198,1216,Adventure|Romance,855
